web-scraper-order,web-scraper-start-url,titre,prix,adresse,image_url-src,pagination,pagination-href
"1751050245-32","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","325 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5316393_uploaded_image1_1746633254.jpg","",""
"1751050245-33","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","325 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5316327_uploaded_image1_1746631366.jpg","",""
"1751050245-34","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","350 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5316323_uploaded_image1_1746631293.jpg","",""
"1751050245-35","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","300 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5311812_uploaded_image1_1746397102.jpg","",""
"1751050245-36","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5311454_uploaded_image1_1746381105.jpg","",""
"1751050245-37","https://sn.coinafrique.com/categorie/moutons","Mouton Ladoum","600 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5311435_uploaded_image1_1746380521.jpg","",""
"1751050245-38","https://sn.coinafrique.com/categorie/moutons","Mouton","500 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5311222_uploaded_image1_1746369324.jpg","",""
"1751050245-39","https://sn.coinafrique.com/categorie/moutons","Mouton","375 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5302025_uploaded_image1_1745854211.jpg","",""
"1751050245-40","https://sn.coinafrique.com/categorie/moutons","Mouton","375 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5302020_uploaded_image1_1745854071.jpg","",""
"1751050245-41","https://sn.coinafrique.com/categorie/moutons","Mouton Toubaberr","105 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5271542_uploaded_image1_1744106341.jpg","",""
"1751050245-42","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","400CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5289057_uploaded_image1_1745062997.jpg","",""
"1751050245-43","https://sn.coinafrique.com/categorie/moutons","Mouton de tabaski","350CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_5289055_uploaded_image1_1745062842.jpg","",""
"1751050245-44","https://sn.coinafrique.com/categorie/moutons","Mouton","80 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5288288_uploaded_image1_1744995144.jpg","",""
"1751050245-45","https://sn.coinafrique.com/categorie/moutons","Mouton","150 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5288284_uploaded_image1_1744994723.jpg","",""
"1751050245-46","https://sn.coinafrique.com/categorie/moutons","Mouton","300 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_5284283_uploaded_image1_1744798932.jpg","",""
"1751050245-47","https://sn.coinafrique.com/categorie/moutons","Mouton","450 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5282919_uploaded_image1_1744724394.jpg","",""
"1751050245-48","https://sn.coinafrique.com/categorie/moutons","Mouton","350CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5245223_uploaded_image1_1742647937.jpg","",""
"1751050245-49","https://sn.coinafrique.com/categorie/moutons","Mouton","350 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5242287_uploaded_image2_1742488655.jpeg","",""
"1751050245-50","https://sn.coinafrique.com/categorie/moutons","Mouton","150CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5241794_uploaded_image2_1742471558.jpeg","",""
